country,points,price,province
US,88,23,California
US,88,36,California
Italy,88,,Tuscany
Argentina,88,12,Other
US,88,35,California
Chile,88,15,Colchagua Valley
US,88,40,California
Italy,88,48,Sicily & Sardinia
Chile,88,11,Colchagua Valley
Chile,87,11,Casablanca Valley
Italy,87,26,Southern Italy
Australia,87,30,South Australia
Italy,87,20,Veneto
France,87,35,Burgundy
Italy,87,,Tuscany
Italy,87,35,Tuscany
Italy,87,18,Tuscany
South Africa,90,23,Western Cape
US,90,60,California
US,90,28,California
Italy,90,,Tuscany
Italy,90,62,Northeastern Italy
Israel,90,50,Judean Hills
Portugal,90,28,Alentejo
US,90,30,California
US,90,25,California
US,90,25,California
US,90,32,California
South Africa,90,40,Coastal Region
France,90,16,Rhône Valley
South Africa,90,20,Western Cape
France,90,32,Rhône Valley
Spain,90,40,Northern Spain
US,90,48,California
US,90,36,California
Israel,90,80,Galilee
Italy,90,57,Tuscany
Portugal,90,20,Beira Atlantico
US,90,20,California
Hungary,90,36,Tokaj
US,90,40,California
Italy,90,40,Northeastern Italy
Italy,90,,Tuscany
Italy,90,,Northeastern Italy
Argentina,90,22,Mendoza Province
South Africa,90,25,Stellenbosch
South Africa,90,20,Stellenbosch
US,85,15,New York
US,85,14,New York
US,85,18,California
US,85,16,New York
Argentina,85,10,Mendoza Province
Australia,85,12,South Australia
US,85,28,Oregon
Italy,85,10,Central Italy
US,85,49,California
US,85,85,California
Italy,85,18,Central Italy
Australia,85,29,South Australia
US,85,36,California
France,85,9,Southwest France
US,85,34,California
US,85,15,California
US,85,30,New York
Spain,85,13,Northern Spain
Argentina,85,12,Other
Australia,85,15,South Australia
US,85,25,California
US,85,45,Oregon
US,85,18,Virginia
US,85,49,California
US,85,22,Oregon
US,85,35,California
Argentina,85,15,Mendoza Province
US,89,45,California
US,89,55,California
South Africa,89,20,Coastal Region
South Africa,89,18,Coastal Region
South Africa,89,35,Stellenbosch
France,89,13,Southwest France
US,89,40,Oregon
Argentina,89,37,Mendoza Province
US,89,39,California
US,89,60,California
South Africa,89,19,Stellenbosch
South Africa,89,40,Stellenbosch
Argentina,89,14,Mendoza Province
Italy,89,40,Central Italy
Italy,89,36,Veneto
Austria,89,17,Leithaberg
Italy,89,25,Northeastern Italy
Greece,89,15,Santorini
Italy,89,26,Northeastern Italy
Argentina,89,19,Mendoza Province
Italy,89,13,Piedmont
Argentina,89,30,Mendoza Province
US,89,20,California
US,89,30,California
US,89,50,Oregon
Italy,89,52,Northeastern Italy
Austria,92,24,Kremstal
US,92,34,California
Italy,92,41,Tuscany
US,92,52,Oregon
Argentina,92,215,Mendoza Province
Austria,92,,Kremstal
US,92,60,California
Spain,92,40,Catalonia
Austria,92,,Kremstal
US,92,125,California
France,92,,Bordeaux
Italy,92,,Central Italy
France,92,45,France Other
Australia,92,70,South Australia
Argentina,92,30,Mendoza Province
US,87,35,California
Chile,87,20,Maipo Valley
US,87,15,California
Chile,87,19,Aconcagua Valley
Italy,87,,Piedmont
US,87,28,California
US,87,14,Washington
Italy,87,,Piedmont
Italy,87,56,Piedmont
Italy,87,,Piedmont
US,87,24,California
Romania,87,7,Recas
France,87,30,Burgundy
Greece,87,18,Santorini
Italy,87,20,Piedmont
Italy,87,18,Piedmont
New Zealand,87,18,Hawke's Bay
US,87,40,California
Italy,87,,Piedmont
US,87,28,California
Italy,86,15,Veneto
France,86,,Bordeaux
France,86,,Bordeaux
Chile,86,18,Curicó Valley
Italy,86,20,Veneto
Italy,86,22,Veneto
Italy,86,16,Veneto
Italy,86,18,Veneto
Chile,86,35,Colchagua Valley
Italy,86,12,Veneto
US,86,11,New York
Italy,86,15,Veneto
Chile,86,18,Limarí Valley
US,86,16,California
US,86,34,California
US,86,40,California
Chile,86,15,Casablanca Valley
Italy,86,19,Veneto
Italy,86,18,Veneto
France,86,42,Champagne
Italy,86,15,Veneto
Chile,83,35,Colchagua Costa
France,83,16,Languedoc-Roussillon
France,82,11,Provence
Spain,82,13,Catalonia
France,82,18,Alsace
US,82,48,California
Spain,82,11,Catalonia
Chile,81,20,Rapel Valley
Chile,80,19,Leyda Valley
Australia,100,350,Victoria
Australia,98,350,Victoria
Germany,97,775,Rheingau
Australia,97,100,Victoria
Australia,97,225,South Australia
Italy,97,150,Piedmont
Hungary,96,320,Tokaji
US,96,68,California
France,96,630,Burgundy
Germany,96,365,Rheingau
US,96,68,California
Australia,95,85,Victoria
France,95,350,Burgundy
Germany,95,66,Rheingau
France,95,110,Burgundy
Australia,95,125,South Australia
Italy,95,60,Piedmont
US,95,200,California
France,95,380,Burgundy
US,95,48,Oregon
Australia,95,60,South Australia
Italy,88,21,Northeastern Italy
Chile,88,10,Maipo Valley
Italy,88,11,Veneto
Italy,88,21,Northeastern Italy
US,88,160,California
Italy,88,23,Northeastern Italy
Italy,88,10,Veneto
Italy,88,15,Northeastern Italy
US,88,19,California
Italy,88,40,Tuscany
Italy,88,18,Northeastern Italy
Greece,88,,Naoussa
Mexico,88,18,Valle de Guadalupe
Italy,88,15,Northeastern Italy
Chile,88,12,Rapel Valley
Italy,88,11,Veneto
Chile,88,15,Maipo Valley
Italy,88,9,Veneto
Italy,88,30,Northeastern Italy
US,88,18,California
US,88,34,California
US,88,17,California
US,88,25,California
Italy,88,15,Northeastern Italy
Chile,88,12,Maipo Valley
Chile,88,14,Central Valley
US,87,12,California
Chile,87,11,Lontué Valley
Chile,87,12,Maipo Valley
Italy,87,,Northeastern Italy
US,85,16,California
Chile,85,15,Colchagua Valley
Chile,85,13,Curicó Valley
Italy,85,24,Veneto
Italy,85,13,Italy Other
Italy,85,19,Veneto
Chile,85,11,Colchagua Valley
US,85,15,California
US,85,45,California
Italy,85,19,Veneto
France,85,30,Champagne
Chile,85,14,Casablanca Valley
Italy,85,15,Veneto
US,85,20,New York
US,85,20,New York
US,85,12,California
Italy,85,20,Veneto
Italy,85,13,Veneto
Italy,85,16,Veneto
US,85,14,New York
Italy,85,14,Veneto
Italy,85,,Veneto
Austria,85,,Burgenland
France,89,20,Bordeaux
France,89,,Bordeaux
US,89,30,Washington
US,89,20,Washington
Austria,89,23,Weinviertel
US,89,30,California
US,89,18,New York
Spain,89,18,Northern Spain
US,89,35,New York
Austria,89,17,Kremstal
US,89,42,Washington
US,89,30,California
US,89,24,California
US,89,16,Washington
US,89,27,California
Italy,89,89,Piedmont
Austria,89,,Thermenregion
Italy,89,15,Piedmont
US,89,54,California
Spain,89,15,Northern Spain
Spain,89,42,Northern Spain
US,89,38,Washington
Austria,89,12,Niederösterreich
US,89,35,New York
US,88,32,California
Austria,88,12,Wagram
Italy,88,28,Sicily & Sardinia
US,88,20,California
France,88,14,Loire Valley
France,88,19,Rhône Valley
Italy,92,39,Lombardy
France,92,,Champagne
Italy,92,35,Tuscany
France,92,,Burgundy
France,92,69,Champagne
Canada,92,30,Ontario
US,92,40,California
US,92,23,California
US,92,45,California
Italy,92,50,Lombardy
France,92,100,Champagne
US,92,50,Oregon
US,92,29,Oregon
France,92,66,Burgundy
France,92,60,Champagne
Germany,92,115,Rheinhessen
Italy,92,69,Veneto
France,92,,Champagne
US,92,65,Oregon
Germany,92,42,Mosel
Germany,92,27,Mosel
France,92,70,Champagne
France,92,73,Burgundy
France,92,72,Burgundy
Portugal,92,34,Alentejano
France,92,,Champagne
US,92,130,California
US,92,88,California
France,92,65,Bordeaux
France,92,,Champagne
Italy,87,15,Sicily & Sardinia
US,87,45,Washington
Italy,87,18,Sicily & Sardinia
US,87,60,California
South Africa,87,12,Stellenbosch
South Africa,87,12,Western Cape
France,87,13,Rhône Valley
US,87,13,California
Italy,87,15,Northeastern Italy
Italy,87,18,Northeastern Italy
Italy,87,13,Northeastern Italy
Spain,87,19,Catalonia
Austria,87,18,Kremstal
US,87,30,Washington
US,87,35,Washington
US,87,12,New York
US,87,18,California
Spain,87,25,Northern Spain
US,87,30,California
US,87,17,California
France,87,20,Provence
Spain,87,11,Northern Spain
US,87,15,California
Austria,87,18,Österreichischer Sekt
US,87,19,California
France,87,15,Rhône Valley
Spain,87,16,Northern Spain
Italy,87,12,Northeastern Italy
US,87,28,Washington
US,87,28,Washington
US,91,65,California
US,91,48,California
France,91,70,Champagne
France,91,59,Champagne
US,91,90,California
Chile,91,35,Colchagua Valley
US,91,75,California
US,91,55,California
US,91,55,California
France,91,60,Burgundy
US,91,36,California
US,91,35,California
US,91,35,California
US,91,55,Oregon
US,91,65,Oregon
US,91,35,Washington
US,91,49,California
US,91,55,Oregon
Germany,91,30,Rheinhessen
France,91,42,Champagne
US,91,45,California
Chile,91,24,Colchagua Valley
US,91,50,Oregon
US,91,50,Oregon
US,91,50,Oregon
US,91,38,California
Germany,91,22,Mosel
US,91,50,Washington
US,91,110,California
US,91,45,Oregon
US,93,42,California
US,93,60,California
US,93,42,California
Italy,93,30,Northeastern Italy
US,93,75,California
US,93,54,California
US,93,85,California
US,93,50,California
US,93,150,California
US,93,85,California
Italy,93,90,Piedmont
US,93,35,California
US,93,46,California
France,93,20,Provence
Argentina,93,42,Mendoza Province
France,93,40,Provence
US,93,75,Washington
Spain,93,88,Northern Spain
US,93,40,California
US,93,25,California
US,93,48,California
US,93,45,California
US,93,50,California
US,93,65,California
US,93,48,California
US,93,62,California
US,93,100,California
US,93,53,California
Argentina,93,55,Mendoza Province
US,93,70,California
US,89,38,Washington
US,89,50,Washington
US,89,25,California
Italy,89,15,Piedmont
France,89,14,Bordeaux
France,89,11,Rhône Valley
France,89,14,Bordeaux
France,89,37,Bordeaux
US,89,17,New York
France,89,15,Bordeaux
US,89,13,California
US,89,18,Washington
US,89,26,Washington
US,89,18,Washington
US,89,32,California
Austria,89,18,Kamptal
US,89,25,Washington
Austria,89,18,Steiermark
Austria,89,20,Südsteiermark
US,89,18,California
Austria,89,,Burgenland
US,89,17,California
Austria,89,13,Niederösterreich
US,89,41,Washington
Austria,89,16,Niederösterreich
France,89,20,Rhône Valley
US,89,30,Washington
Greece,89,13,Crete
Austria,89,24,Kremstal
US,89,36,California
US,87,20,California
Italy,87,19,Piedmont
Mexico,87,15,Valle de Guadalupe
US,87,69,California
US,87,36,New York
Spain,87,35,Northern Spain
Argentina,87,30,Mendoza Province
US,87,25,Oregon
US,87,25,Oregon
Portugal,87,15,Douro
US,87,20,Oregon
US,87,17,California
US,87,54,California
US,87,40,California
Portugal,87,12,Vinho Verde
Italy,87,19,Veneto
Argentina,87,11,Mendoza Province
US,87,45,California
Italy,87,25,Veneto
US,87,35,California
Italy,87,16,Piedmont
Italy,87,20,Veneto
US,87,28,California
US,87,25,Idaho
US,87,28,Idaho
US,87,20,Idaho
Italy,87,15,Veneto
Italy,87,23,Veneto
Italy,87,19,Piedmont
Australia,92,35,South Australia
US,92,75,California
US,92,48,Oregon
France,92,54,Alsace
France,92,34,Alsace
Australia,92,60,Victoria
US,92,48,California
Spain,92,28,Northern Spain
Australia,92,125,South Australia
France,92,45,Alsace
France,92,36,Alsace
France,92,30,Alsace
US,92,37,California
US,92,25,California
Portugal,92,30,Alentejano
US,92,60,California
US,92,40,California
US,92,50,Oregon
Portugal,92,23,Tejo
Portugal,92,80,Douro
Germany,92,34,Mosel
US,92,75,California
Italy,92,24,Northeastern Italy
France,92,39,Alsace
Australia,92,21,Western Australia
US,92,35,California
France,92,43,Alsace
US,92,30,California
US,92,70,Oregon
South Africa,92,50,Coastal Region
US,90,40,California
US,90,45,Washington
US,90,80,California
US,90,15,California
Italy,90,65,Piedmont
US,90,65,California
Italy,90,35,Piedmont
Italy,90,25,Piedmont
US,90,20,Washington
Spain,90,15,Levante
US,90,26,New York
US,90,30,Washington
US,90,13,Washington
US,90,45,California
US,90,26,New York
US,90,44,California
US,90,38,California
US,90,28,California
US,90,32,Washington
Italy,90,50,Tuscany
Italy,90,35,Tuscany
US,90,35,Washington
Spain,90,25,Northern Spain
US,90,42,Washington
Italy,90,45,Piedmont
Italy,90,70,Tuscany
US,90,30,Washington
US,90,75,California
Italy,90,53,Piedmont
US,90,29,California
US,91,90,Washington
US,91,35,California
Austria,91,35,Burgenland
US,91,50,California
Italy,91,35,Tuscany
US,91,65,California
South Africa,91,50,Stellenbosch
Italy,91,43,Tuscany
New Zealand,91,28,Marlborough
Austria,91,,Wagram
US,91,20,Washington
South Africa,91,40,Simonsberg-Stellenbosch
Argentina,91,30,Mendoza Province
France,91,65,Provence
France,91,17,Provence
France,91,,Provence
France,91,20,Provence
New Zealand,91,28,Marlborough
France,91,20,Provence
France,91,20,Provence
France,91,25,Provence
US,91,38,California
New Zealand,91,120,Martinborough
US,91,23,California
US,91,48,California
US,91,32,California
New Zealand,91,50,Central Otago
Argentina,91,28,Mendoza Province
New Zealand,91,30,Central Otago
France,91,25,Provence
Portugal,85,8,Lisboa
France,85,15,Burgundy
Portugal,85,22,Alentejano
Argentina,85,14,Mendoza Province
Argentina,85,25,Mendoza Province
Portugal,85,8,Vinho Verde
US,85,14,Texas
Italy,85,80,Piedmont
Portugal,85,9,Vinho Verde
US,85,13,Oregon
Argentina,85,17,Other
Portugal,85,10,Alentejano
US,85,16,California
France,85,10,France Other
France,85,22,Burgundy
France,85,40,Burgundy
Argentina,85,15,Mendoza Province
Argentina,85,17,Other
US,85,32,California
Portugal,85,12,Península de Setúbal
Argentina,85,17,Mendoza Province
Italy,85,102,Piedmont
US,85,,Texas
France,85,10,Burgundy
France,85,20,Burgundy
US,85,33,California
Italy,85,48,Piedmont
Portugal,85,12,Alentejo
Australia,85,9,Australia Other
US,87,24,California
US,87,75,New York
France,87,12,Alsace
US,87,45,California
Chile,87,13,Central Valley
France,87,,Alsace
US,87,22,California
Spain,87,10,Northern Spain
US,87,18,California
US,87,35,California
US,87,36,California
US,87,34,California
US,87,70,California
US,87,28,California
Chile,87,19,Colchagua Valley
Spain,87,14,Northern Spain
Spain,87,10,Northern Spain
US,87,45,California
US,87,32,California
Australia,87,18,Tasmania
Spain,87,9,Northern Spain
Australia,87,11,Australia Other
Italy,87,30,Southern Italy
France,92,62,Champagne
US,92,40,California
France,92,66,Champagne
Portugal,92,32,Alentejo
US,92,70,Oregon
US,92,48,Oregon
France,92,72,Champagne
Italy,92,18,Northeastern Italy
US,92,105,Oregon
France,92,101,Champagne
Italy,92,50,Tuscany
Italy,92,85,Northeastern Italy
US,92,35,California
US,92,38,California
Portugal,90,32,Douro
Argentina,90,25,Other
Portugal,90,12,Douro
US,90,125,California
Argentina,90,46,Mendoza Province
Germany,90,29,Mosel
US,90,17,Washington
US,90,85,Oregon
France,90,30,Bordeaux
US,90,34,Washington
US,90,22,California
France,90,35,Bordeaux
France,90,45,Bordeaux
France,90,20,Bordeaux
France,90,17,Bordeaux
France,90,45,Bordeaux
US,90,20,California
US,90,50,California
France,90,22,Beaujolais
US,90,39,Washington
US,90,35,Washington
US,90,15,Oregon
US,90,27,California
Australia,90,66,Victoria
Italy,90,32,Central Italy
Spain,90,20,Central Spain
US,90,125,California
Germany,90,16,Franken
US,90,42,California
Australia,90,22,South Australia
Italy,86,,Tuscany
US,86,18,Washington
US,86,22,New York
Chile,86,12,Colchagua Valley
France,86,15,Beaujolais
France,86,9,Southwest France
Spain,86,12,Northern Spain
Spain,86,15,Catalonia
Italy,86,20,Tuscany
US,86,28,California
US,86,10,California
Italy,86,70,Tuscany
Italy,86,28,Tuscany
Chile,86,11,Curicó Valley
France,86,30,Southwest France
US,86,26,Washington
France,86,15,Beaujolais
France,86,23,Beaujolais
France,86,,Beaujolais
Italy,86,30,Piedmont
Chile,86,10,Loncomilla Valley
France,86,12,Beaujolais
Spain,86,13,Catalonia
Spain,86,15,Catalonia
US,86,36,Washington
US,86,20,New York
France,86,,Beaujolais
US,86,10,California
France,86,16,Beaujolais
US,86,25,Washington
Italy,90,24,Sicily & Sardinia
Italy,90,,Sicily & Sardinia
France,90,24,Alsace
France,90,33,Alsace
France,90,,Burgundy
France,90,70,Burgundy
France,90,117,Burgundy
France,90,,Burgundy
France,90,16,Alsace
Germany,90,30,Mosel
US,90,20,California
US,90,35,California
Italy,90,25,Southern Italy
US,90,28,California
US,90,15,Oregon
US,90,150,California
US,90,45,California
Italy,90,30,Sicily & Sardinia
Italy,90,19,Sicily & Sardinia
US,90,45,California
Germany,90,40,Ahr
Italy,90,,Sicily & Sardinia
Australia,90,25,South Australia
US,90,40,Oregon
Chile,90,15,Colchagua Valley
US,90,42,California
US,90,29,California
US,90,42,California
US,90,18,Oregon
Hungary,90,16,Tokaji
Portugal,90,40,Douro
Portugal,90,,Douro
Spain,90,50,Catalonia
Italy,90,,Tuscany
France,90,35,Bordeaux
France,90,45,Bordeaux
US,90,20,California
Spain,90,44,Catalonia
US,90,22,California
Italy,90,,Tuscany
US,90,28,California
US,90,27,California
France,90,25,Languedoc-Roussillon
Portugal,90,60,Douro
US,90,72,Washington
US,90,44,California
US,90,28,California
US,90,29,California
US,90,58,Washington
Australia,90,15,Australia Other
Italy,90,29,Tuscany
Italy,90,45,Tuscany
US,90,70,California
US,90,39,Washington
Italy,90,,Tuscany
Italy,90,28,Tuscany
Spain,90,48,Catalonia
Portugal,90,50,Douro
US,87,22,Texas
Germany,87,10,Nahe
Italy,87,50,Piedmont
US,87,30,Texas
US,87,18,Texas
Portugal,87,30,Vinho Verde
Italy,87,39,Piedmont
Italy,87,35,Piedmont
Argentina,87,30,Mendoza Province
France,87,23,France Other
US,87,18,Oregon
,87,30,
Argentina,87,20,Other
US,87,25,Oregon
US,87,20,Oregon
Italy,87,50,Piedmont
Italy,87,50,Piedmont
Argentina,87,15,Mendoza Province
Australia,87,,Australia Other
Portugal,87,9,Tejo
Argentina,87,12,Mendoza Province
Portugal,87,14,Tejo
Australia,87,18,South Australia
US,87,20,California
Argentina,87,175,Mendoza Province
Portugal,87,12,Vinho Verde
Italy,87,60,Piedmont
US,87,20,California
Argentina,87,15,Mendoza Province
Italy,87,35,Piedmont
France,87,14,Bordeaux
France,87,16,Bordeaux
France,87,15,Bordeaux
France,87,14,Bordeaux
US,87,40,Oregon
US,87,29,Oregon
Spain,87,15,Northern Spain
US,87,55,California
France,87,38,Champagne
Spain,87,15,Levante
US,87,34,California
Spain,87,18,Northern Spain
US,87,27,Oregon
US,87,17,California
US,87,65,California
Portugal,87,13,Douro
Portugal,87,15,Alentejano
Italy,87,23,Piedmont
US,87,40,California
US,87,32,California
Spain,87,16,Catalonia
US,87,38,Oregon
US,87,15,California
Italy,87,50,Piedmont
Italy,87,30,Southern Italy
US,87,24,California
Spain,87,18,Northern Spain
France,87,40,Champagne
France,87,18,Bordeaux
France,87,20,Bordeaux
France,85,40,Champagne
France,85,11,Bordeaux
Italy,85,17,Lombardy
Italy,85,48,Southern Italy
New Zealand,85,9,Marlborough
Chile,85,10,Casablanca Valley
Italy,85,,Veneto
Chile,85,9,Maipo Valley
US,85,19,California
France,85,15,Champagne
US,85,23,California
US,85,35,California
US,85,30,Washington
Italy,85,12,Sicily & Sardinia
US,85,17,California
US,85,16,California
US,85,15,California
France,85,10,Bordeaux
Italy,85,41,Veneto
France,85,10,Bordeaux
Italy,85,16,Veneto
US,85,25,California
Romania,85,12,Dealu Mare
Argentina,88,20,Mendoza Province
Portugal,88,,Port
Australia,88,25,South Australia
US,88,20,Oregon
Spain,88,53,Northern Spain
US,88,12,California
France,88,,Southwest France
France,88,14,Southwest France
France,88,12,Southwest France
France,88,22,Loire Valley
Italy,88,26,Sicily & Sardinia
Italy,88,14,Sicily & Sardinia
Australia,88,18,South Australia
US,88,18,Oregon
US,88,17,Oregon
US,88,24,Oregon
Italy,88,41,Sicily & Sardinia
US,88,60,Oregon
France,88,26,Southwest France
France,88,25,Southwest France
France,88,16,Loire Valley
US,88,40,Oregon
France,88,21,Loire Valley
Australia,88,14,South Australia
Chile,88,18,Maipo Valley
US,88,75,Oregon
US,88,16,New York
Italy,88,,Sicily & Sardinia
Italy,88,45,Sicily & Sardinia
US,88,42,California
US,88,48,California
Italy,88,22,Sicily & Sardinia
Italy,88,22,Sicily & Sardinia
France,88,20,Alsace
US,88,125,California
US,88,14,Oregon
Argentina,88,20,Mendoza Province
Italy,88,27,Sicily & Sardinia
Israel,88,25,Galilee
France,88,28,Alsace
US,88,42,California
US,88,13,Oregon
US,88,34,Oregon
Spain,88,19,Northern Spain
Spain,88,18,Northern Spain
US,88,60,California
Spain,88,28,Northern Spain
New Zealand,88,16,Marlborough
US,88,22,California
France,88,10,Alsace
Italy,88,12,Sicily & Sardinia
Italy,88,28,Sicily & Sardinia
US,88,28,Oregon
New Zealand,87,20,Hawke's Bay
Spain,87,15,Galicia
Argentina,87,15,Mendoza Province
New Zealand,87,70,Hawke's Bay
Spain,85,15,Northern Spain
Austria,85,20,Niederösterreich
Italy,85,17,Northeastern Italy
US,85,24,Oregon
Italy,85,28,Northeastern Italy
US,85,16,California
France,85,12,Languedoc-Roussillon
France,85,12,Languedoc-Roussillon
US,85,10,California
Spain,85,25,Galicia
US,85,12,California
Spain,85,30,Northern Spain
Italy,85,19,Northeastern Italy
Austria,85,24,Kremstal
Austria,85,10,Niederösterreich
Chile,85,11,Central Valley
US,85,16,California
Italy,85,,Northeastern Italy
France,85,11,Southwest France
France,85,25,France Other
Italy,85,,Northeastern Italy
South Africa,85,20,Darling
Italy,85,,Sicily & Sardinia
Portugal,94,50,Port
US,94,38,California
US,94,34,California
US,94,100,Oregon
US,94,95,Oregon
US,94,62,Oregon
Italy,94,57,Piedmont
Portugal,94,150,Douro
Portugal,94,78,Port
Australia,94,100,South Australia
US,94,52,California
France,94,112,Loire Valley
Italy,94,180,Piedmont
US,94,35,Oregon
US,94,85,Oregon
US,94,32,Oregon
US,94,32,Oregon
US,94,120,Oregon
US,94,85,California
France,94,120,Loire Valley
US,94,38,California
US,94,32,Oregon
US,94,58,California
US,94,85,Oregon
US,94,80,California
Portugal,94,60,Port
US,94,75,California
US,94,50,Oregon
France,94,60,Loire Valley
US,94,60,Oregon
US,90,28,California
Chile,90,25,Maipo Valley
US,90,15,Washington
US,90,19,California
US,90,40,California
Chile,90,35,Maule Valley
Austria,90,,Niederösterreich
US,90,45,California
US,90,13,Washington
France,90,15,Rhône Valley
Italy,90,22,Piedmont
US,90,35,Washington
US,90,20,California
US,90,38,California
Italy,90,70,Tuscany
Spain,90,60,Northern Spain
Spain,90,25,Catalonia
France,90,17,Rhône Valley
US,90,15,Washington
Italy,90,38,Tuscany
Spain,90,27,Northern Spain
US,90,10,California
US,90,56,California
Italy,90,18,Tuscany
France,90,32,Southwest France
France,90,24,France Other
France,90,,France Other
US,84,16,New York
US,84,40,Washington
US,84,20,Washington
US,84,38,California
France,84,20,Bordeaux
France,84,18,Bordeaux
France,84,,Bordeaux
Chile,84,13,Maule Valley
US,84,65,California
New Zealand,84,16,Marlborough
France,84,14,Bordeaux
France,84,20,Bordeaux
France,84,15,Bordeaux
Chile,84,11,Chile
US,84,27,California
Italy,84,11,Sicily & Sardinia
Italy,84,10,Southern Italy
US,84,100,California
US,84,25,New York
Chile,84,18,Leyda Valley
US,84,13,California
US,84,28,California
US,83,11,California
France,83,12,Bordeaux
Italy,83,,Southern Italy
US,83,17,Washington
Italy,83,14,Sicily & Sardinia
France,83,30,Bordeaux
Chile,83,11,Central Valley
US,83,45,New York
US,87,24,Washington
Austria,87,15,Südoststeiermark
Australia,87,19,South Australia
Greece,87,15,Corinth
Austria,87,23,Kremstal
US,87,60,California
